EST	Max TemperatureF	Mean TemperatureF	Min TemperatureF	Max Dew PointF	MeanDew PointF	Min DewpointF	Max Humidity	 Mean Humidity	 Min Humidity	 Max Sea Level PressureIn	 Mean Sea Level PressureIn	 Min Sea Level PressureIn	 Max VisibilityMiles	 Mean VisibilityMiles	 Min VisibilityMiles	 Max Wind SpeedMPH	 Mean Wind SpeedMPH	 Max Gust SpeedMPH	PrecipitationIn	 CloudCover	 Events	 WindDirDegrees
9/27/2014	81	71	60	58	55	52	84	62	39	30.18	30.15	30.12	10	10	10	10	5	14	0	0		249
9/28/2014	87	74	60	61	60	58	90	65	40	30.16	30.07	29.98	10	10	7	13	5	26	0	1		211
9/29/2014	74	66	57	61	58	56	93	75	57	30.02	29.98	29.95	10	8	1	18	10	23	T	6	Rain	14
9/30/2014	57	57	56	56	55	54	100	97	93	30.06	30.02	30	10	8	1	17	9	21	0.18	8	Rain	20
10/1/2014	57	57	56	56	56	55	100	97	93	30.11	30.07	30.01	10	4	2	25	16	30	1.16	8	Rain	29
10/2/2014	56	54	51	56	52	46	100	92	83	30.18	30.15	30.1	10	8	2	22	14	28	0.16	7	Rain	22
10/3/2014	55	52	48	54	50	46	100	89	77	30.14	30.04	29.91	10	8	2	14	8	17	0.01	6	Rain	3
10/4/2014	63	58	53	63	57	53	100	97	93	29.91	29.71	29.53	10	4	0	20	8	24	0.35	8	Fog-Rain	107
10/5/2014	61	55	49	59	42	33	97	67	36	29.95	29.74	29.54	10	10	10	20	12	24	0	2		260
10/6/2014	67	55	43	51	42	38	86	60	34	30.16	30.09	29.97	10	10	10	20	8	23	0	0		192
10/7/2014	73	64	55	63	57	52	93	71	49	30.15	30.07	29.98	10	10	8	30	13	38	0.01	5	Rain	172
10/8/2014	73	66	58	63	54	40	93	66	38	29.97	29.8	29.7	10	10	10	25	14	37	0.01	5	Rain	215
10/9/2014	66	58	50	43	37	32	61	46	31	30	29.92	29.88	10	10	10	24	12	31	0	2		250
10/10/2014	63	57	51	38	36	35	59	48	36	30.14	30.07	30.01	10	10	10	18	10	24	0	4		281
10/11/2014	54	51	47	46	42	36	93	72	50	30.14	30.11	30.07	10	9	5	10	5	15	0.31	6	Rain	325
10/12/2014	59	52	44	44	40	38	93	70	47	30.31	30.24	30.14	10	10	10	14	9	18	0	1		282
10/13/2014	63	54	45	54	46	40	82	69	55	30.37	30.32	30.26	10	10	10	16	8	22	0	6		205
10/14/2014	78	68	57	63	60	54	93	75	56	30.26	30.21	30.16	10	10	7	23	11	28	0	5		201
10/15/2014	81	71	61	66	63	60	93	74	54	30.16	30.08	29.98	10	10	10	23	9	30	0	4		168
10/16/2014	70	65	60	68	64	60	100	94	87	29.96	29.82	29.66	10	8	1	28	10	35	0.63	8	Rain	147
10/17/2014	71	64	57	61	57	50	100	76	51	29.7	29.65	29.62	10	9	5	23	11	31	0	3		210
10/18/2014	71	63	55	59	56	48	100	81	61	29.66	29.58	29.49	10	10	9	22	12	26	T	5		217
10/19/2014	56	50	43	47	35	25	77	61	44	29.96	29.78	29.6	10	10	10	20	14	29	0	7		311
10/20/2014	58	49	39	41	30	23	68	52	36	30.07	30.01	29.96	10	10	10	20	11	28	0	4		240
10/21/2014	62	56	49	56	52	42	96	85	74	30.01	29.96	29.91	10	10	9	16	7	18	T	6	Rain	82
10/22/2014	56	53	50	54	50	48	100	95	89	30.02	29.91	29.77	10	4	1	44	25	54	0.87	8	Rain-Thunderstorm	26
10/23/2014	54	51	48	54	50	48	100	97	93	29.77	29.65	29.58	10	4	2	38	25	48	2.25	8	Rain-Thunderstorm	13
10/24/2014	52	49	46	49	46	41	100	86	71	29.74	29.69	29.66	10	8	2	16	11	23	0.05	8	Rain	323
10/25/2014	64	55	46	46	42	38	86	62	37	29.76	29.66	29.49	10	10	10	17	10	23	0	4		260
10/26/2014	59	53	47	46	40	36	67	57	47	29.71	29.53	29.45	10	10	10	24	13	33	T	5		270
10/27/2014	63	55	46	39	38	36	71	55	39	30.03	29.87	29.72	10	10	10	21	11	28	0	1		283
10/28/2014	60	53	45	53	47	39	100	86	71	30.09	30.01	29.95	10	10	7	14	4	17	0	5		88
10/29/2014	74	63	52	60	53	41	93	71	49	29.94	29.85	29.75	10	7	1	21	7	32	0.02	8	Rain	282
10/30/2014	59	53	46	44	39	36	80	62	43	30	29.93	29.88	10	10	10	16	8	22	0	2		301
10/31/2014	54	50	45	39	37	35	76	66	56	30.05	30.01	29.96	10	10	10	18	11	23	0	8		40
11/1/2014	49	44	39	44	39	34	93	77	61	29.94	29.86	29.78	10	7	2	29	17	36	0.59	8	Rain	4
11/2/2014	42	38	34	36	29	15	89	62	34	29.81	29.69	29.62	10	8	1	35	21	44	0.31	7	Rain-Snow	328
11/3/2014	53	45	36	30	18	8	47	32	16	30.06	29.95	29.83	10	10	10	28	15	37	0	2		278
11/4/2014	57	51	45	44	35	28	71	53	35	30.14	30.08	30	10	10	10	15	6	18	0	5		169
11/5/2014	66	57	47	48	40	31	77	56	34	30.13	30.02	29.96	10	10	9	20	9	25	0	7		243
11/6/2014	51	49	46	48	45	38	100	83	66	30.11	29.84	29.49	10	5	1	18	5	24	0.59	7	Rain	79
11/7/2014	49	44	39	47	37	24	93	73	53	29.79	29.54	29.46	10	8	2	25	14	36	T	7	Rain	300
11/8/2014	48	42	35	31	25	21	65	51	37	29.96	29.9	29.81	10	10	10	20	10	26	0	5		245
11/9/2014	56	48	40	37	33	30	70	57	43	30.02	29.93	29.88	10	10	10	16	8	21	0	7		261
11/10/2014	58	48	37	46	35	31	93	66	39	30.21	30.14	30.03	10	10	10	12	5	15	0	3		192
11/11/2014	63	53	42	51	47	38	100	80	60	30.19	30.09	29.98	10	9	2	15	5	21	0	5		163
11/12/2014	60	53	46	54	49	32	100	75	50	30.01	29.92	29.85	10	3	0	17	5	22	0	6	Fog	118
11/13/2014	50	44	38	35	29	24	85	62	39	30.09	30.01	29.96	10	10	7	15	8	22	0.06	5	Rain	298
11/14/2014	44	39	33	34	27	16	100	67	33	30.1	29.96	29.91	10	8	2	20	11	25	0.23	5	Rain-Snow	311
11/15/2014	40	35	30	23	16	11	66	49	32	30.34	30.24	30.11	10	10	10	16	9	21	0	1		295
11/16/2014	42	36	29	31	23	17	70	57	44	30.39	30.29	30.14	10	10	10	20	8	24	T	6	Rain	220
11/17/2014	48	43	37	48	41	30	100	83	65	30.12	29.75	29.43	10	4	1	21	6	25	1.64	8	Rain	358
11/18/2014	44	36	27	41	19	4	100	66	32	29.93	29.7	29.46	10	10	10	25	16	33	0	2		270
11/19/2014	37	31	24	15	9	5	53	41	29	30.14	30.08	29.94	10	10	10	23	14	31	0	2		245
11/20/2014	48	40	31	22	18	14	63	47	31	30.05	29.89	29.74	10	10	10	29	14	37	0	3		249
11/21/2014	36	32	27	15	10	4	53	42	31	30.42	30.17	29.93	10	10	10	26	15	35	0	1		286
11/22/2014	44	34	24	23	13	7	60	41	22	30.44	30.26	30.06	10	10	10	28	16	33	0	5		233
11/23/2014	59	51	42	38	32	22	76	59	41	30.14	30.11	30.06	10	10	10	18	9	22	T	5		223
11/24/2014	65	54	42	62	53	38	100	88	76	30.09	29.79	29.59	10	7	2	26	15	36	0.28	6	Rain	174
11/25/2014	62	55	48	55	40	26	93	61	28	30.12	29.88	29.7	10	10	9	20	12	26	0	6		234
11/26/2014	50	42	33	37	33	28	100	71	42	30.21	29.99	29.68	10	5	1	31	15	38	1.44	8	Rain-Snow	1
11/27/2014	38	35	31	32	29	26	92	81	70	30.01	29.92	29.7	10	7	2	21	10	29	0.02	8	Rain-Snow	318
11/28/2014	35	31	27	28	24	16	92	72	51	30.22	30.06	29.99	10	6	1	20	11	25	0.11	6	Snow	314
11/29/2014	34	29	23	24	16	13	68	55	41	30.35	30.31	30.24	10	10	10	13	7	21	0	2		248
11/30/2014	57	45	32	43	37	25	85	66	47	30.27	30.13	30.03	10	10	10	23	12	30	0	7		197
12/1/2014	64	52	39	46	40	26	74	63	52	30.45	30.13	30.01	10	10	10	22	13	29	0.01	6	Rain	268
12/2/2014	42	38	33	40	27	17	92	72	51	30.71	30.59	30.4	10	8	2	24	15	29	0.1	7	Rain-Snow	62
12/3/2014	51	44	37	49	42	24	100	79	57	30.4	30.07	29.87	10	5	1	29	12	38	0.44	8	Rain	254
12/4/2014	43	37	30	24	21	13	69	54	39	30.56	30.33	30.09	10	10	10	25	12	33	0	3		292
12/5/2014	42	34	26	37	25	12	85	66	47	30.68	30.59	30.45	10	10	5	22	10	26	0.11	5	Rain	61
12/6/2014	45	42	38	45	40	36	100	93	85	30.42	30.24	30.16	10	4	0	22	8	25	1.09	8	Rain	313
12/7/2014	38	30	21	36	20	-3	92	61	29	30.69	30.46	30.24	10	10	5	25	15	32	0.13	6	Rain	350
12/8/2014	29	24	18	28	16	3	92	70	47	30.77	30.67	30.51	10	8	2	21	13	28	0.03	8	Snow	354
12/9/2014	46	36	25	46	38	28	100	95	85	30.51	30.26	29.73	10	3	1	34	14	48	0.94	8	Rain	43
